Ticker,Name,Sector,Industry,Country,Exchange
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,Consumer Staples,Personal Care,Bangladesh,DSE
REGENTTEX,Regent Textile Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
RELIANCE1,Reliance Insurance Ltd (1st),Financial Services,Insurance,Bangladesh,DSE
RELIANCINS,Reliance Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
RENATA,Renata PLC,Healthcare,Pharmaceuticals,Bangladesh,DSE
RENWICKJA,Renwick Jajneswar & Co (Bd) Ltd,Industrials,Engineering,Bangladesh,DSE
REPUBLIC,Republic Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
RINGSHINE,Ringshine Textiles Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ROBI,Robi Axiata Ltd,Technology,Telecommunications,Bangladesh,DSE
RSRMSTEEL,RSRM Steel Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
RUNNERAUTO,Runner Automobiles PLC,Consumer Discretionary,Automobiles,Bangladesh,DSE
RUPALIBANK,Rupali Bank PLC,Financial Services,Banking,Bangladesh,DSE
RUPALIINS,Rupali Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
RUPALILIFE,Rupali Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
SAFKOSPINN,Safko Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SAIFPOWER,Saif Powertec Ltd,Utilities,Power Generation,Bangladesh,DSE
SAIHAMCOT,Saiham Cotton Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SAIHAMTEX,Saiham Textile Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SALAMCRST,Salam Crystal Industries Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
SALVO,Salvo Chemical Industry Ltd,Basic Materials,Chemicals,Bangladesh,DSE
SAMATALETH,Samata Leather Complex Ltd,Consumer Discretionary,Leather Goods,Bangladesh,DSE
SAMORITA,Samorita Hospital Ltd,Healthcare,Healthcare Services,Bangladesh,DSE
SANDHANINS,Sandhani Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
SAPORTL,Sa-Po Industries & Trading Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
SBACBANK,SBAC Bank PLC,Financial Services,Banking,Bangladesh,DSE
SEAPEARL,Sea Pearl Beach Resort & Spa Ltd,Consumer Discretionary,Hotels & Tourism,Bangladesh,DSE
SEMLFBSLGF,SEML FBSL Growth Fund,Financial Services,Mutual Fund,Bangladesh,DSE
SEMLIBBLSF,SEML IBBL Shariah Fund,Financial Services,Mutual Fund,Bangladesh,DSE
SHAHJABANK,Shahjalal Islami Bank PLC,Financial Services,Banking,Bangladesh,DSE
SHARPIND,Sharp Industries Ltd,Consumer Discretionary,Electronics,Bangladesh,DSE
SHASHADNIM,Shasha Denims Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SHEPHERD,Shepherd Industries Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SHURWID,Shurwid Industries Ltd,Consumer Staples,Food Products,Bangladesh,DSE
SHYAMPSUG,Shyampur Sugar Mills Ltd,Consumer Staples,Sugar,Bangladesh,DSE
SICL,Standard Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
SILCOPHL,Silco Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
SILVAPHL,Silva Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
SIMTEX,Simtex Industries Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SINGERBD,Singer Bangladesh Ltd,Consumer Discretionary,Electronics,Bangladesh,DSE
SINOBANGLA,Sino-Bangla Industries Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
SIPLC,Sylhet Gas Fields Ltd,Energy,Oil & Gas,Bangladesh,DSE
SJIBLPBOND,Shahjalal Islami Bank PLC Bond,Financial Services,Bonds,Bangladesh,DSE
SKTRIMS,SK Trims & Industries Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
SONALIANSH,Sonali Aansh Industries Ltd,Consumer Discretionary,Jute,Bangladesh,DSE
SONALILIFE,Sonali Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
SONALIPAPR,Sonali Paper & Board Mills Ltd,Basic Materials,Paper & Pulp,Bangladesh,DSE
SONARBAINS,Sonar Bangla Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
SONARGAON,Sonargaon Textiles Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
SOUTHEASTB,Southeast Bank PLC,Financial Services,Banking,Bangladesh,DSE
SPCERAMICS,Standard Ceramic Industries Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
SPCL,Shahjibazar Power Company Ltd,Utilities,Power Generation,Bangladesh,DSE
SQUARETEXT,Square Textiles PLC,Consumer Discretionary,Textiles,Bangladesh,DSE
SQURPHARMA,Square Pharmaceuticals PLC,Healthcare,Pharmaceuticals,Bangladesh,DSE
SSSTEEL,SS Steel Ltd,Basic Materials,Steel & Metals,Bangladesh,DSE
STANCERAM,Standard Ceramics Ltd,Basic Materials,Ceramics & Tiles,Bangladesh,DSE
STANDBANKL,Standard Bank PLC,Financial Services,Banking,Bangladesh,DSE
STYLECRAFT,Stylecraft Ltd,Consumer Discretionary,Garments,Bangladesh,DSE
SUMITPOWER,Summit Power Ltd,Utilities,Power Generation,Bangladesh,DSE
SUNLIFEINS,Sun Life Insurance Company Ltd,Financial Services,Life Insurance,Bangladesh,DSE
TAKAFULINS,Takaful Islami Insurance Ltd,Financial Services,Insurance,Bangladesh,DSE
TALLUSPIN,Tallu Spinning Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
TAMIJTEX,Tamij Textile Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
TB10Y1135,Treasury Bond 10 Year 11.35%,Financial Services,Government Bond,Bangladesh,DSE
TB2Y1026,Treasury Bond 2 Year 10.26%,Financial Services,Government Bond,Bangladesh,DSE
TECHNODRUG,Techno Drugs Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
TILIL,T.I.L Industries Ltd,Industrials,Industrial Goods,Bangladesh,DSE
TITASGAS,Titas Gas Transmission & Dist Co Ltd,Energy,Gas Distribution,Bangladesh,DSE
TOSRIFA,Tosrifa Industries Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
TRUSTB1MF,Trust Bank First Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
TRUSTBANK,Trust Bank PLC,Financial Services,Banking,Bangladesh,DSE
TUNGHAI,Tunghai Knitting & Dyeing Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
UCB,United Commercial Bank PLC,Financial Services,Banking,Bangladesh,DSE
UNILEVERCL,Unilever Consumer Care Ltd,Consumer Staples,Personal Care,Bangladesh,DSE
UNIONCAP,Union Capital Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
UNIONINS,Union Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
UNIQUEHRL,Unique Hotel & Resorts PLC,Consumer Discretionary,Hotels & Tourism,Bangladesh,DSE
UNITEDFIN,United Finance Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
UNITEDINS,United Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
UPGDCL,United Power Generation & Distribution Co,Utilities,Power Generation,Bangladesh,DSE
USMANIAGL,Usman (Arab-Bangladesh) Glass Ltd,Basic Materials,Glass,Bangladesh,DSE
UTTARABANK,Uttara Bank PLC,Financial Services,Banking,Bangladesh,DSE
UTTARAFIN,Uttara Finance & Investments Ltd,Financial Services,Non-Bank Financial Institutions,Bangladesh,DSE
VAMLRBBF,VIPB Accelerated Income Unit Fund,Financial Services,Mutual Fund,Bangladesh,DSE
VFSTDL,VFS Thread Dyeing Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
WALTONHIL,Walton Hi-Tech Industries PLC,Consumer Discretionary,Electronics,Bangladesh,DSE
WATACHEM,WATA Chemicals Ltd,Basic Materials,Chemicals,Bangladesh,DSE
WMSHIPYARD,Western Marine Shipyard Ltd,Industrials,Shipbuilding,Bangladesh,DSE
YPL,Yeakin Polymer Ltd,Basic Materials,Plastics,Bangladesh,DSE
ZAHEENSPIN,Zaheen Spinning Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ZAHINTEX,Zahintex Industries Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ZEALBANGLA,Zeal Bangla Sugar Mills Ltd,Consumer Staples,Sugar,Bangladesh,DSE
